T,X,V
0.0133333,0.999111,-0.133294
0.0266667,0.996447,-0.266351
0.04,0.992011,-0.398934
0.0533333,0.985811,-0.530809
0.0666667,0.97786,-0.661739
0.08,0.96817,-0.791494
0.0933333,0.95676,-0.919842
0.106667,0.943648,-1.04655
0.12,0.92886,-1.17141
0.133333,0.91242,-1.29418
0.146667,0.894359,-1.41465
0.16,0.874707,-1.5326
0.173333,0.853501,-1.64783
0.186667,0.830778,-1.76013
0.2,0.806578,-1.86931
0.213333,0.780945,-1.97516
0.226667,0.753923,-2.0775
0.24,0.725561,-2.17615
0.253333,0.69591,-2.27092
0.266667,0.665021,-2.36167
0.28,0.632951,-2.44821
0.293333,0.599755,-2.5304
0.306667,0.565493,-2.6081
0.32,0.530226,-2.68116
0.333333,0.494017,-2.74945
0.346667,0.456929,-2.81286
0.36,0.41903,-2.87126
0.373333,0.380385,-2.92456
0.386667,0.341064,-2.97267
0.4,0.301137,-3.01549
0.413333,0.260675,-3.05295
0.426667,0.21975,-3.08498
0.44,0.178434,-3.11153
0.453333,0.1368,-3.13255
0.466667,0.0949237,-3.148
0.48,0.0528784,-3.15785
0.493333,0.0107392,-3.1621
0.506667,-0.0314191,-3.16072
0.52,-0.0735216,-3.15372
0.533333,-0.115493,-3.14112
0.546667,-0.15726,-3.12293
0.56,-0.198747,-3.09919
0.573333,-0.239881,-3.06995
0.586667,-0.280588,-3.03524
0.6,-0.320796,-2.99515
0.613333,-0.360435,-2.94972
0.626667,-0.399432,-2.89906
0.64,-0.43772,-2.84324
0.653333,-0.47523,-2.78237
0.666667,-0.511895,-2.71655
0.68,-0.54765,-2.6459
0.693333,-0.582431,-2.57055
0.706667,-0.616177,-2.49063
0.72,-0.648828,-2.40629
0.733333,-0.680326,-2.31766
0.746667,-0.710614,-2.22492
0.76,-0.73964,-2.12822
0.773333,-0.76735,-2.02774
0.786667,-0.793697,-1.92366
0.8,-0.818632,-1.81615
0.813333,-0.842113,-1.70542
0.826667,-0.864097,-1.59166
0.84,-0.884545,-1.47506
0.853333,-0.90342,-1.35585
0.866667,-0.92069,-1.23422
0.88,-0.936323,-1.1104
0.893333,-0.950292,-0.984609
0.906667,-0.962571,-0.857066
0.92,-0.97314,-0.728
0.933333,-0.981979,-0.597639
0.946667,-0.989072,-0.466216
0.96,-0.994408,-0.333965
0.973333,-0.997975,-0.201119
0.986667,-0.999769,-0.0679166
1,-0.999786,0.0654068
1.01333,-0.998026,0.198614
1.02667,-0.994491,0.331468
1.04,-0.989189,0.463733
1.05333,-0.982129,0.595174
1.06667,-0.973323,0.725556
1.08,-0.962786,0.85465
1.09333,-0.950539,0.982223
1.10667,-0.936601,1.10805
1.12,-0.920999,1.23191
1.13333,-0.90376,1.35358
1.14667,-0.884915,1.47284
1.16,-0.864496,1.58949
1.17333,-0.842541,1.70331
1.18667,-0.819088,1.8141
1.2,-0.794179,1.92166
1.21333,-0.767859,2.02582
1.22667,-0.740174,2.12637
1.24,-0.711173,2.22314
1.25333,-0.680908,2.31596
1.26667,-0.649432,2.40466
1.28,-0.616802,2.48909
1.29333,-0.583076,2.56909
1.30667,-0.548314,2.64453
1.32,-0.512576,2.71526
1.33333,-0.475928,2.78117
1.34667,-0.438434,2.84214
1.36,-0.40016,2.89805
1.37333,-0.361175,2.94882
1.38667,-0.321548,2.99434
1.4,-0.28135,3.03454
1.41333,-0.240651,3.06934
1.42667,-0.199525,3.09869
1.44,-0.158044,3.12253
1.45333,-0.116282,3.14083
1.46667,-0.0743133,3.15353
1.48,-0.0322126,3.16064
1.49333,0.00994537,3.16212
1.50667,0.0520857,3.15799
1.52,0.0941334,3.14824
1.53333,0.136014,3.13289
1.54667,0.177652,3.11198
1.56,0.218975,3.08553
1.57333,0.259909,3.0536
1.58667,0.30038,3.01624
1.6,0.340318,2.97352
1.61333,0.379651,2.92552
1.62667,0.418309,2.87231
1.64,0.456223,2.814
1.65333,0.493327,2.75069
1.66667,0.529553,2.68249
1.68,0.564838,2.60952
1.69333,0.59912,2.53191
1.70667,0.632336,2.4498
1.72,0.664428,2.36333
1.73333,0.695339,2.27267
1.74667,0.725015,2.17797
1.76,0.753401,2.07939
1.77333,0.780449,1.97712
1.78667,0.806109,1.87133
1.8,0.830336,1.76222
1.81333,0.853087,1.64997
1.82667,0.874322,1.5348
1.84,0.894003,1.41689
1.85333,0.912095,1.29647
1.86667,0.928566,1.17374
1.88,0.943385,1.04892
1.89333,0.956528,0.922243
1.90667,0.967971,0.793924
1.92,0.977694,0.664194
1.93333,0.985678,0.533283
1.94667,0.99191,0.401424
1.96,0.996379,0.268852
1.97333,0.999077,0.135802
1.98667,1,0.00251039
2,0.999144,-0.130786
2.01333,0.996513,-0.263849
2.02667,0.99211,-0.396444
2.04,0.985944,-0.528334
2.05333,0.978026,-0.659284
2.06667,0.968369,-0.789063
2.08,0.95699,-0.917439
2.09333,0.943911,-1.04418
2.10667,0.929154,-1.16907
2.12,0.912745,-1.29189
2.13333,0.894714,-1.4124
2.14667,0.875092,-1.53041
2.16,0.853915,-1.64569
2.17333,0.83122,-1.75805
2.18667,0.807047,-1.86728
2.2,0.78144,-1.9732
2.21333,0.754444,-2.0756
2.22667,0.726107,-2.17432
2.24,0.69648,-2.26918
2.25333,0.665614,-2.36
2.26667,0.633565,-2.44662
2.28,0.60039,-2.5289
2.29333,0.566148,-2.60668
2.30667,0.530899,-2.67982
2.32,0.494707,-2.74821
2.33333,0.457635,-2.81171
2.34667,0.41975,-2.87021
2.36,0.381119,-2.92361
2.37333,0.341811,-2.97181
2.38667,0.301894,-3.01473
2.4,0.261442,-3.05229
2.41333,0.220524,-3.08443
2.42667,0.179215,-3.11108
2.44,0.137587,-3.1322
2.45333,0.0957139,-3.14776
2.46667,0.0536711,-3.15772
2.48,0.011533,-3.16207
2.49333,-0.0306257,-3.16079
2.50667,-0.0727299,-3.1539
2.52,-0.114705,-3.14141
2.53333,-0.156476,-3.12332
2.54667,-0.197969,-3.09969
2.56,-0.23911,-3.07055
2.57333,-0.279826,-3.03595
2.58667,-0.320044,-2.99595
2.6,-0.359694,-2.95063
2.61333,-0.398704,-2.90006
2.62667,-0.437006,-2.84434
2.64,-0.474531,-2.78356
2.65333,-0.511212,-2.71783
2.66667,-0.546985,-2.64728
2.68,-0.581786,-2.57201
2.69333,-0.615552,-2.49218
2.70667,-0.648224,-2.40792
2.72,-0.679744,-2.31937
2.73333,-0.710056,-2.2267
2.74667,-0.739105,-2.13008
2.76,-0.766841,-2.02967
2.77333,-0.793213,-1.92565
2.78667,-0.818176,-1.81821
2.8,-0.841685,-1.70753
2.81333,-0.863697,-1.59382
2.82667,-0.884174,-1.47728
2.84,-0.903079,-1.35811
2.85333,-0.92038,-1.23653
2.86667,-0.936044,-1.11275
2.88,-0.950044,-0.986995
2.89333,-0.962356,-0.859482
2.90667,-0.972957,-0.730442
2.92,-0.981829,-0.600104
2.93333,-0.988955,-0.468699
2.94667,-0.994324,-0.336461
2.96,-0.997925,-0.203625
2.97333,-0.999752,-0.0704264
2.98667,-0.999802,0.0628969
3,-0.998075,0.196108
3.01333,-0.994574,0.328971
3.02667,-0.989305,0.46125
3.04,-0.982278,0.592708
3.05333,-0.973504,0.723113
3.06667,-0.963001,0.852232
3.08,-0.950785,0.979837
3.09333,-0.936879,1.1057
3.10667,-0.921308,1.2296
3.12,-0.9041,1.35131
3.13333,-0.885284,1.47062
3.14667,-0.864895,1.58732
3.16,-0.842968,1.70119
3.17333,-0.819543,1.81204
3.18667,-0.794661,1.91967
3.2,-0.768367,2.02389
3.21333,-0.740707,2.12451
3.22667,-0.71173,2.22135
3.24,-0.681489,2.31425
3.25333,-0.650036,2.40303
3.26667,-0.617427,2.48754
3.28,-0.583721,2.56763
3.29333,-0.548977,2.64315
3.30667,-0.513258,2.71398
3.32,-0.476626,2.77998
3.33333,-0.439147,2.84104
3.34667,-0.400887,2.89705
3.36,-0.361915,2.94791
3.37333,-0.3223,2.99353
3.38667,-0.282111,3.03383
3.4,-0.241422,3.06874
3.41333,-0.200303,3.09819
3.42667,-0.158828,3.12214
3.44,-0.11707,3.14053
3.45333,-0.0751049,3.15335
3.46667,-0.033006,3.16055
3.48,0.00915155,3.16215
3.49333,0.0512929,3.15811
3.50667,0.093343,3.14847
3.52,0.135227,3.13323
3.53333,0.176871,3.11242
3.54667,0.218201,3.08608
3.56,0.259142,3.05425
3.57333,0.299623,3.017
3.58667,0.339571,2.97438
3.6,0.378916,2.92647
3.61333,0.417588,2.87336
3.62667,0.455517,2.81515
3.64,0.492636,2.75193
3.65333,0.52888,2.68382
3.66667,0.564183,2.61093
3.68,0.598484,2.53341
3.69333,0.631721,2.45139
3.70667,0.663835,2.365
3.72,0.694769,2.27442
3.73333,0.724468,2.17979
3.74667,0.752879,2.08128
3.76,0.779952,1.97908
3.77333,0.805639,1.87336
3.78667,0.829894,1.7643
3.8,0.852673,1.65212
3.81333,0.873937,1.53699
3.82667,0.893647,1.41914
3.84,0.911769,1.29876
3.85333,0.928271,1.17607
3.86667,0.943122,1.05129
3.88,0.956297,0.924644
3.89333,0.967772,0.796354
3.90667,0.977526,0.666648
3.92,0.985544,0.535757
3.93333,0.991809,0.403914
3.94667,0.996312,0.271353
3.96,0.999043,0.13831
3.97333,0.999999,0.00502077
3.98667,0.999177,-0.128277
4,0.996579,-0.261347
4.01333,0.99221,-0.393953
4.02667,0.986077,-0.525858
4.04,0.978191,-0.656829
4.05333,0.968566,-0.786632
4.06667,0.95722,-0.915037
4.08,0.944173,-1.04182
4.09333,0.929447,-1.16674
4.10667,0.913069,-1.28959
4.12,0.895068,-1.41015
4.13333,0.875476,-1.52821
4.14667,0.854328,-1.64355
4.16,0.831661,-1.75596
4.17333,0.807516,-1.86526
4.18667,0.781936,-1.97124
4.2,0.754965,-2.07371
4.21333,0.726653,-2.1725
4.22667,0.697049,-2.26743
4.24,0.666206,-2.35832
4.25333,0.634179,-2.44503
4.26667,0.601025,-2.52739
4.28,0.566802,-2.60526
4.29333,0.531572,-2.67849
4.30667,0.495397,-2.74697
4.32,0.458341,-2.81056
4.33333,0.420471,-2.86915
4.34667,0.381853,-2.92265
4.36,0.342557,-2.97095
4.37333,0.302651,-3.01397
4.38667,0.262208,-3.05163
4.4,0.221298,-3.08387
4.41333,0.179996,-3.11063
4.42667,0.138373,-3.13186
4.44,0.0965041,-3.14752
4.45333,0.0544638,-3.15758
4.46667,0.0123268,-3.16204
4.48,-0.0298322,-3.16087
4.49333,-0.0719381,-3.15408
4.50667,-0.113916,-3.14169
4.52,-0.155692,-3.12372
4.53333,-0.197191,-3.10019
4.54667,-0.238339,-3.07115
4.56,-0.279064,-3.03665
4.57333,-0.319292,-2.99675
4.58667,-0.358953,-2.95153
4.6,-0.397976,-2.90106
4.61333,-0.436292,-2.84543
4.62667,-0.473832,-2.78475
4.64,-0.51053,-2.71912
4.65333,-0.54632,-2.64865
4.66667,-0.58114,-2.57347
4.68,-0.614926,-2.49372
4.69333,-0.647619,-2.40954
4.70667,-0.679161,-2.32108
4.72,-0.709496,-2.22849
4.73333,-0.73857,-2.13193
4.74667,-0.766331,-2.03159
4.76,-0.79273,-1.92764
4.77333,-0.81772,-1.82026
4.78667,-0.841256,-1.70965
4.8,-0.863297,-1.59599
4.81333,-0.883803,-1.4795
