T,X,V
0.0133333,0.999112,-0.133028
0.0266667,0.996456,-0.265288
0.04,0.992043,-0.39655
0.0533333,0.985887,-0.526585
0.0666667,0.978007,-0.655166
0.08,0.968423,-0.782072
0.0933333,0.95716,-0.907083
0.106667,0.944244,-1.02999
0.12,0.929704,-1.15057
0.133333,0.913573,-1.26864
0.146667,0.895886,-1.38398
0.16,0.87668,-1.4964
0.173333,0.855995,-1.60573
0.186667,0.833875,-1.71176
0.2,0.810364,-1.81434
0.213333,0.785509,-1.91329
0.226667,0.759359,-2.00845
0.24,0.731968,-2.09967
0.253333,0.703386,-2.1868
0.266667,0.673672,-2.2697
0.28,0.642881,-2.34824
0.293333,0.611072,-2.42231
0.306667,0.578306,-2.49178
0.32,0.544645,-2.55656
0.333333,0.510152,-2.61654
0.346667,0.474893,-2.67164
0.36,0.438931,-2.72178
0.373333,0.402334,-2.76689
0.386667,0.36517,-2.80691
0.4,0.327506,-2.8418
0.413333,0.289412,-2.8715
0.426667,0.250956,-2.89599
0.44,0.212208,-2.91525
0.453333,0.173239,-2.92926
0.466667,0.134118,-2.93801
0.48,0.0949154,-2.94152
0.493333,0.0557008,-2.9398
0.506667,0.016544,-2.93287
0.52,-0.0224859,-2.92076
0.533333,-0.0613201,-2.90352
0.546667,-0.0998905,-2.8812
0.56,-0.13813,-2.85385
0.573333,-0.175971,-2.82156
0.586667,-0.21335,-2.78438
0.6,-0.2502,-2.74242
0.613333,-0.28646,-2.69576
0.626667,-0.322067,-2.6445
0.64,-0.35696,-2.58875
0.653333,-0.391081,-2.52864
0.666667,-0.424371,-2.46428
0.68,-0.456776,-2.3958
0.693333,-0.488242,-2.32335
0.706667,-0.518715,-2.24707
0.72,-0.548147,-2.1671
0.733333,-0.576489,-2.08361
0.746667,-0.603695,-1.99676
0.76,-0.629722,-1.90671
0.773333,-0.654527,-1.81364
0.786667,-0.678073,-1.71772
0.8,-0.700321,-1.61914
0.813333,-0.721239,-1.51808
0.826667,-0.740793,-1.41473
0.84,-0.758955,-1.30928
0.853333,-0.775699,-1.20193
0.866667,-0.790999,-1.09288
0.88,-0.804835,-0.98232
0.893333,-0.817189,-0.870462
0.906667,-0.828043,-0.757507
0.92,-0.837385,-0.643659
0.933333,-0.845204,-0.529124
0.946667,-0.851493,-0.414107
0.96,-0.856246,-0.298815
0.973333,-0.859461,-0.183453
0.986667,-0.861138,-0.068226
1,-0.861282,0.046662
1.01333,-0.859897,0.161009
1.02667,-0.856991,0.274613
1.04,-0.852578,0.387277
1.05333,-0.846669,0.498804
1.06667,-0.839282,0.609001
1.08,-0.830436,0.717678
1.09333,-0.820152,0.824648
1.10667,-0.808454,0.929727
1.12,-0.795368,1.03274
1.13333,-0.780924,1.13351
1.14667,-0.765152,1.23186
1.16,-0.748086,1.32764
1.17333,-0.729761,1.42068
1.18667,-0.710214,1.51082
1.2,-0.689485,1.59793
1.21333,-0.667617,1.68186
1.22667,-0.644651,1.76246
1.24,-0.620633,1.83962
1.25333,-0.59561,1.91321
1.26667,-0.56963,1.98311
1.28,-0.542744,2.04921
1.29333,-0.515002,2.11141
1.30667,-0.486457,2.16962
1.32,-0.457164,2.22375
1.33333,-0.427176,2.27372
1.34667,-0.39655,2.31945
1.36,-0.365343,2.36089
1.37333,-0.333612,2.39797
1.38667,-0.301416,2.43065
1.4,-0.268814,2.45889
1.41333,-0.235866,2.48266
1.42667,-0.20263,2.50192
1.44,-0.169168,2.51667
1.45333,-0.135539,2.5269
1.46667,-0.101804,2.5326
1.48,-0.0680232,2.53379
1.49333,-0.0342564,2.53048
1.50667,-0.000563673,2.52269
1.52,0.0329956,2.51046
1.53333,0.0663623,2.49382
1.54667,0.0994781,2.47283
1.56,0.132285,2.44753
1.57333,0.164727,2.41799
1.58667,0.196747,2.38428
1.6,0.228289,2.34648
1.61333,0.259302,2.30466
1.62667,0.28973,2.25893
1.64,0.319523,2.20937
1.65333,0.34863,2.15608
1.66667,0.377002,2.09919
1.68,0.404592,2.03879
1.69333,0.431355,1.97503
1.70667,0.457245,1.90801
1.72,0.482221,1.83787
1.73333,0.506242,1.76476
1.74667,0.529269,1.68881
1.76,0.551265,1.61016
1.77333,0.572195,1.52897
1.78667,0.592027,1.4454
1.8,0.610729,1.35959
1.81333,0.628273,1.27171
1.82667,0.644633,1.18193
1.84,0.659784,1.09041
1.85333,0.673704,0.997321
1.86667,0.686373,0.902835
1.88,0.697774,0.807124
1.89333,0.707891,0.710363
1.90667,0.716713,0.612729
1.92,0.724228,0.514397
1.93333,0.730428,0.415545
1.94667,0.735307,0.316351
1.96,0.738863,0.216991
1.97333,0.741094,0.117644
1.98667,0.742001,0.0184839
2,0.741588,-0.0803129
2.01333,0.739862,-0.178573
2.02667,0.73683,-0.276124
2.04,0.732502,-0.372795
2.05333,0.726893,-0.46842
2.06667,0.720017,-0.562832
2.08,0.71189,-0.655868
2.09333,0.702534,-0.747369
2.10667,0.691968,-0.83718
2.12,0.680217,-0.925146
2.13333,0.667306,-1.01112
2.14667,0.653263,-1.09496
2.16,0.638118,-1.17652
2.17333,0.6219,-1.25567
2.18667,0.604644,-1.33227
2.2,0.586385,-1.40621
2.21333,0.567158,-1.47735
2.22667,0.547002,-1.54559
2.24,0.525956,-1.61082
