T,X,V
0.0133333,0.998224,-0.266272
0.0266667,0.99291,-0.53019
0.04,0.984106,-0.789466
0.0533333,0.971888,-1.04194
0.0666667,0.95636,-1.28563
0.08,0.937651,-1.5188
0.0933333,0.915912,-1.73996
0.106667,0.891311,-1.94791
0.12,0.86403,-2.14179
0.133333,0.834262,-2.32099
0.146667,0.802204,-2.48523
0.16,0.768056,-2.63448
0.173333,0.732017,-2.76898
0.186667,0.69428,-2.88916
0.2,0.655033,-2.99565
0.213333,0.614454,-3.0892
0.226667,0.572708,-3.17067
0.24,0.529952,-3.24102
0.253333,0.486326,-3.3012
0.266667,0.441961,-3.35219
0.28,0.396971,-3.39497
0.293333,0.351461,-3.43044
0.306667,0.305521,-3.45947
0.32,0.259233,-3.48283
0.333333,0.212668,-3.50122
0.346667,0.165887,-3.51521
0.36,0.118946,-3.5253
0.373333,0.0718946,-3.53185
0.386667,0.0247781,-3.5351
0.4,-0.0223606,-3.53518
0.413333,-0.0694793,-3.53209
0.426667,-0.116535,-3.52572
0.44,-0.163483,-3.51582
0.453333,-0.210273,-3.50204
0.466667,-0.256851,-3.48389
0.48,-0.303155,-3.4608
0.493333,-0.349114,-3.43208
0.506667,-0.394649,-3.39696
0.52,-0.439668,-3.35458
0.533333,-0.484068,-3.30403
0.546667,-0.527734,-3.24434
0.56,-0.570539,-3.17454
0.573333,-0.61234,-3.09366
0.586667,-0.652983,-3.00075
0.6,-0.692302,-2.89495
0.613333,-0.730121,-2.77549
0.626667,-0.766252,-2.64174
0.64,-0.800502,-2.49325
0.653333,-0.832672,-2.32978
0.666667,-0.862562,-2.15134
0.68,-0.889975,-1.95821
0.693333,-0.914718,-1.75095
0.706667,-0.936608,-1.53044
0.72,-0.955476,-1.29786
0.733333,-0.971171,-1.05467
0.746667,-0.983561,-0.802599
0.76,-0.992543,-0.54362
0.773333,-0.998037,-0.279885
0.786667,-0.999995,-0.0136768
0.8,-0.998401,0.252653
0.813333,-0.993268,0.516748
0.826667,-0.984641,0.776316
0.84,-0.972596,1.02919
0.853333,-0.957235,1.27338
0.866667,-0.938686,1.50712
0.88,-0.917098,1.72892
0.893333,-0.892639,1.93758
0.906667,-0.865492,2.1322
0.92,-0.835846,2.31216
0.933333,-0.803901,2.47717
0.946667,-0.769855,2.62719
0.96,-0.733908,2.76244
0.973333,-0.696254,2.88334
0.986667,-0.65708,2.99051
1,-0.616565,3.0847
1.01333,-0.574875,3.16677
1.02667,-0.532167,3.23766
1.04,-0.488583,3.29834
1.05333,-0.444252,3.34979
1.06667,-0.399292,3.39296
1.08,-0.353806,3.42879
1.09333,-0.307886,3.45813
1.10667,-0.261615,3.48176
1.12,-0.215062,3.50038
1.13333,-0.168291,3.51459
1.14667,-0.121357,3.52487
1.16,-0.0743098,3.53159
1.17333,-0.0271955,3.53501
1.18667,0.0199431,3.53525
1.2,0.0670638,3.53233
1.21333,0.114124,3.52613
1.22667,0.161078,3.51642
1.24,0.207878,3.50285
1.25333,0.254468,3.48494
1.26667,0.300788,3.46211
1.28,0.346767,3.4337
1.29333,0.392325,3.39893
1.30667,0.437373,3.35694
1.32,0.481807,3.30683
1.33333,0.525515,3.24764
1.34667,0.568366,3.17839
1.36,0.610222,3.09809
1.37333,0.650929,3.00583
1.38667,0.690321,2.90071
1.4,0.728221,2.78196
1.41333,0.764443,2.64895
1.42667,0.798794,2.50123
1.44,0.831075,2.33853
1.45333,0.861088,2.16085
1.46667,0.888633,1.96846
1.48,0.913517,1.76191
1.49333,0.935558,1.54206
1.50667,0.954585,1.31006
1.52,0.970445,1.06737
1.53333,0.983008,0.815713
1.54667,0.992166,0.557038
1.56,0.997841,0.293492
1.57333,0.999981,0.0273536
1.58667,0.998569,-0.239027
1.6,0.993617,-0.503294
1.61333,0.985167,-0.763148
1.62667,0.973295,-1.01641
1.64,0.958101,-1.26109
1.65333,0.939712,-1.49541
1.66667,0.918277,-1.71786
1.68,0.893961,-1.92722
1.69333,0.866946,-2.12257
1.70667,0.837424,-2.30329
1.72,0.805592,-2.46907
1.73333,0.771649,-2.61986
1.74667,0.735795,-2.75585
1.76,0.698224,-2.87748
1.77333,0.659123,-2.98533
1.78667,0.618673,-3.08017
1.8,0.577039,-3.16284
1.81333,0.53438,-3.23428
1.82667,0.490837,-3.29546
1.84,0.446542,-3.34736
1.85333,0.401612,-3.39093
1.86667,0.35615,-3.42711
1.88,0.310251,-3.45677
1.89333,0.263995,-3.48068
1.90667,0.217455,-3.49954
1.92,0.170694,-3.51396
1.93333,0.123767,-3.52444
1.94667,0.0767248,-3.53133
1.96,0.029613,-3.53491
1.97333,-0.0175254,-3.53532
1.98667,-0.0646481,-3.53256
2,-0.111712,-3.52653
2.01333,-0.158673,-3.51701
2.02667,-0.205482,-3.50364
2.04,-0.252085,-3.48597
2.05333,-0.29842,-3.46342
2.06667,-0.344418,-3.43531
2.08,-0.39,-3.40088
2.09333,-0.435076,-3.35929
2.10667,-0.479545,-3.30962
2.12,-0.523292,-3.25091
2.13333,-0.566191,-3.1822
2.14667,-0.608102,-3.1025
2.16,-0.648872,-3.01086
2.17333,-0.688335,-2.90642
2.18667,-0.726316,-2.78839
2.2,-0.762629,-2.65613
2.21333,-0.797081,-2.50917
2.22667,-0.829473,-2.34724
2.24,-0.859607,-2.17033
2.25333,-0.887283,-1.97868
2.26667,-0.912308,-1.77284
2.28,-0.934499,-1.55364
2.29333,-0.953685,-1.32223
2.30667,-0.969711,-1.08005
2.32,-0.982446,-0.828809
2.33333,-0.991781,-0.570443
2.34667,-0.997635,-0.307092
2.36,-0.999958,-0.0410301
2.37333,-0.998728,0.225396
2.38667,-0.993956,0.489828
2.4,-0.985685,0.749963
2.41333,-0.973986,1.00362
2.42667,-0.95896,1.24878
2.44,-0.940731,1.48367
2.45333,-0.919448,1.70676
2.46667,-0.895275,1.91681
2.48,-0.868395,2.1129
2.49333,-0.838996,2.29438
2.50667,-0.807278,2.46093
2.52,-0.773438,2.61249
2.53333,-0.737677,2.74923
2.54667,-0.700189,2.87158
2.56,-0.661163,2.98013
2.57333,-0.620777,3.07561
2.58667,-0.579201,3.15889
2.6,-0.536591,3.23088
2.61333,-0.49309,3.29256
2.62667,-0.448831,3.3449
2.64,-0.40393,3.38888
2.65333,-0.358493,3.42542
2.66667,-0.312614,3.45539
2.68,-0.266375,3.47958
2.69333,-0.219848,3.49869
2.70667,-0.173097,3.51332
2.72,-0.126177,3.52399
2.73333,-0.0791398,3.53106
2.74667,-0.0320304,3.53481
2.76,0.0151076,3.53537
2.77333,0.0622322,3.53278
2.78667,0.109301,3.52692
2.8,0.156268,3.51759
2.81333,0.203086,3.50443
2.82667,0.2497,3.48699
2.84,0.296051,3.4647
2.85333,0.342068,3.4369
2.86667,0.387673,3.40281
2.88,0.432778,3.36161
2.89333,0.477281,3.31237
2.90667,0.521068,3.25416
2.92,0.564014,3.18598
2.93333,0.605979,3.10687
2.94667,0.646811,3.01587
2.96,0.686345,2.9121
2.97333,0.724407,2.79479
2.98667,0.76081,2.66327
3,0.795362,2.51707
3.01333,0.827865,2.35591
3.02667,0.858119,2.17976
3.04,0.885926,1.98886
3.05333,0.911092,1.78373
3.06667,0.933433,1.56519
3.08,0.952776,1.33438
3.09333,0.968968,1.09271
3.10667,0.981874,0.841886
3.12,0.991386,0.583835
3.13333,0.997421,0.320686
3.14667,0.999925,0.0547059
3.16,0.998877,-0.211759
3.17333,0.994286,-0.47635
3.18667,0.986193,-0.736759
3.2,0.974668,-0.990796
3.21333,0.959809,-1.23644
3.22667,0.941742,-1.4719
3.24,0.920611,-1.69562
3.25333,0.896583,-1.90637
3.26667,0.869836,-2.10319
3.28,0.840562,-2.28544
3.29333,0.808958,-2.45276
3.30667,0.775222,-2.60507
3.32,0.739555,-2.74257
3.33333,0.702151,-2.86565
3.34667,0.663199,-2.97488
3.36,0.622879,-3.07102
3.37333,0.58136,-3.1549
3.38667,0.538799,-3.22744
3.4,0.495341,-3.28963
3.41333,0.451117,-3.34243
3.42667,0.406247,-3.38682
3.44,0.360835,-3.42372
3.45333,0.314977,-3.454
3.46667,0.268755,-3.47847
3.48,0.222241,-3.49782
3.49333,0.175499,-3.51267
3.50667,0.128587,-3.52353
3.52,0.0815546,-3.53078
3.53333,0.0344478,-3.53469
3.54667,-0.0126898,-3.53542
3.56,-0.059816,-3.53299
3.57333,-0.106888,-3.52731
3.58667,-0.153862,-3.51816
3.6,-0.200689,-3.5052
3.61333,-0.247315,-3.488
3.62667,-0.293681,-3.46597
3.64,-0.339717,-3.43847
3.65333,-0.385346,-3.40473
3.66667,-0.430478,-3.36391
3.68,-0.475014,-3.31511
3.69333,-0.518841,-3.25738
3.70667,-0.561834,-3.18974
3.72,-0.603853,-3.11121
3.73333,-0.644747,-3.02084
3.74667,-0.684352,-2.91775
3.76,-0.722493,-2.80114
3.77333,-0.758986,-2.67037
3.78667,-0.793638,-2.52493
3.8,-0.826251,-2.36454
3.81333,-0.856625,-2.18916
3.82667,-0.884563,-1.999
3.84,-0.909869,-1.79459
3.85333,-0.932358,-1.57671
3.86667,-0.951859,-1.3465
3.88,-0.968216,-1.10535
3.89333,-0.981294,-0.854945
3.90667,-0.990982,-0.597214
3.92,-0.997197,-0.334272
3.93333,-0.999883,-0.0683808
3.94667,-0.999017,0.198117
3.96,-0.994608,0.46286
3.97333,-0.986693,0.723539
3.98667,-0.975341,0.977954
4,-0.960651,1.22407
4.01333,-0.942744,1.46009
4.02667,-0.921767,1.68445
4.04,-0.897883,1.89589
4.05333,-0.871271,2.09345
4.06667,-0.842122,2.27645
4.08,-0.810632,2.44454
4.09333,-0.777001,2.59762
4.10667,-0.741428,2.73587
4.12,-0.704109,2.85968
4.13333,-0.665232,2.96961
4.14667,-0.624978,3.06639
4.16,-0.583516,3.15088
4.17333,-0.541005,3.22398
4.18667,-0.49759,3.28668
4.2,-0.453402,3.33994
4.21333,-0.408562,3.38473
4.22667,-0.363176,3.42199
4.24,-0.317339,3.4526
4.25333,-0.271133,3.47734
4.26667,-0.224633,3.49694
4.28,-0.177901,3.51201
4.29333,-0.130997,3.52306
4.30667,-0.0839692,3.53049
4.32,-0.0368652,3.53457
4.33333,0.0102718,3.53546
4.34667,0.0573997,3.53319
4.36,0.104476,3.52768
4.37333,0.151456,3.51871
4.38667,0.198291,3.50597
4.4,0.244929,3.48899
4.41333,0.29131,3.46723
4.42667,0.337365,3.44002
4.44,0.383016,3.40662
4.45333,0.428177,3.36619
4.46667,0.472746,3.31782
4.48,0.516612,3.26057
4.49333,0.559651,3.19346
4.50667,0.601723,3.11551
4.52,0.642679,3.02578
4.53333,0.682354,2.92336
4.54667,0.720575,2.80747
4.56,0.757157,2.67743
4.57333,0.791908,2.53275
4.58667,0.824631,2.37313
4.6,0.855125,2.19852
4.61333,0.883192,2.00911
4.62667,0.908638,1.80541
4.64,0.931276,1.5882
4.65333,0.950934,1.35858
4.66667,0.967456,1.11796
4.68,0.980705,0.867985
4.69333,0.990569,0.610579
4.70667,0.996963,0.347851
4.72,0.999831,0.0820544
4.73333,0.999148,-0.18447
4.74667,0.99492,-0.44936
4.76,0.987183,-0.710302
4.77333,0.976006,-0.965089
4.78667,0.961484,-1.21168
