T,X,V
0.0133333,0.998226,-0.26574
0.0266667,0.992929,-0.528075
0.04,0.984169,-0.784748
0.0533333,0.972037,-1.03365
0.0666667,0.956648,-1.27286
0.08,0.938144,-1.5007
0.0933333,0.916686,-1.71579
0.106667,0.892452,-1.91701
0.12,0.865631,-2.10355
0.133333,0.836425,-2.27493
0.146667,0.805035,-2.43092
0.16,0.771668,-2.57157
0.173333,0.736527,-2.69717
0.186667,0.699809,-2.80821
0.2,0.661703,-2.90534
0.213333,0.622391,-2.98936
0.226667,0.582041,-3.06116
0.24,0.54081,-3.12168
0.253333,0.498842,-3.17189
0.266667,0.456268,-3.21279
0.28,0.413205,-3.24533
0.293333,0.369759,-3.27044
0.306667,0.326022,-3.28897
0.32,0.282079,-3.30171
0.333333,0.237999,-3.30936
0.346667,0.193849,-3.31255
0.36,0.149682,-3.31178
0.373333,0.10555,-3.30748
0.386667,0.0614973,-3.29995
0.4,0.0175649,-3.28942
0.413333,-0.0262078,-3.276
0.426667,-0.0697823,-3.2597
0.44,-0.11312,-3.24044
0.453333,-0.15618,-3.21804
0.466667,-0.198919,-3.19225
0.48,-0.24129,-3.16271
0.493333,-0.28324,-3.129
0.506667,-0.32471,-3.09065
0.52,-0.365634,-3.0471
0.533333,-0.40594,-2.99776
0.546667,-0.445546,-2.94202
0.56,-0.484362,-2.87923
0.573333,-0.522291,-2.80874
0.586667,-0.559225,-2.72992
0.6,-0.595049,-2.64219
0.613333,-0.629641,-2.545
0.626667,-0.662872,-2.43789
0.64,-0.694606,-2.32051
0.653333,-0.724705,-2.1926
0.666667,-0.753028,-2.05409
0.68,-0.779434,-1.90501
0.693333,-0.803783,-1.74562
0.706667,-0.82594,-1.57633
0.72,-0.845777,-1.39775
0.733333,-0.863175,-1.21067
0.746667,-0.878028,-1.01608
0.76,-0.890242,-0.815118
0.773333,-0.899742,-0.609093
0.786667,-0.906468,-0.399422
0.8,-0.910384,-0.187619
0.813333,-0.911469,0.0247428
0.826667,-0.909728,0.236072
0.84,-0.905186,0.444791
0.853333,-0.897886,0.64938
0.866667,-0.887893,0.848404
0.88,-0.875292,1.04055
0.893333,-0.860181,1.22466
0.906667,-0.842675,1.39973
0.92,-0.822899,1.56493
0.933333,-0.80099,1.71964
0.946667,-0.777091,1.86342
0.96,-0.751349,1.99599
